"Partido","Federação"
"AGIR","AGIR"
"AVANTE","AVANTE"
"CIDADANIA","PSDB/CIDADANIA"
"DC","DC"
"MDB","MDB"
"NOVO","NOVO"
"PATRIOTA","PATRIOTA"
"PC do B","PT/PC do B/PV"
"PCB","PCB"
"PCO","PCO"
"PDT","PDT"
"PL","PL"
"PMB","PMB"
"PMN","PMN"
"PODE","PODE"
"PP","PP"
"PROS","PROS"
"PRTB","PRTB"
"PSB","PSB"
"PSC","PSC"
"PSD","PSD"
"PSDB","PSDB/CIDADANIA"
"PSOL","PSOL/REDE"
"PSTU","PSTU"
"PT","PT/PC do B/PV"
"PTB","PTB"
"PV","PT/PC do B/PV"
"REDE","PSOL/REDE"
"REPUBLICANOS","REPUBLICANOS"
"SOLIDARIEDADE","SOLIDARIEDADE"
"UNIÃO","UNIÃO"
"UP","UP"
